iter	RMSE
0	77856.78526
1	76259.42618
2	74872.08636
3	73619.01906
4	72194.95359
5	71034.04774
6	69731.36436
7	68430.5951
8	67194.87578
9	66034.33738
10	64900.51251
11	63706.82354
12	62492.76789
13	61523.91595
14	60544.1631
15	59449.35991
16	58526.55461
17	57569.08211
18	56615.95348
19	55733.0604
20	54881.32431
21	53967.74304
22	53127.55882
23	52253.24251
24	51522.03485
25	50757.12963
26	50039.65195
27	49290.35237
28	48619.98814
29	47967.45143
30	47270.28506
31	46631.39455
32	46067.354
33	45533.82024
34	44955.66355
35	44351.30317
36	43748.46216
37	43149.2906
38	42618.94794
39	42061.49016
40	41507.83031
41	41054.77833
42	40596.40755
43	40145.60187
44	39689.77371
45	39248.77134
46	38820.86409
47	38402.34078
48	37972.84818
49	37592.33465
50	37202.54705
51	36831.58871
52	36437.54075
53	36112.77653
54	35757.41401
55	35420.74057
56	35061.18884
57	34743.24673
58	34389.73975
59	34037.3268
60	33742.04545
61	33445.48771
62	33129.15215
63	32865.06448
64	32578.6288
65	32306.93921
66	32057.5675
67	31817.10834
68	31612.32195
69	31375.34491
70	31169.58875
71	30897.5311
72	30716.3298
73	30467.79013
74	30257.62277
75	30050.23835
76	29854.19821
77	29615.98304
78	29376.3067
79	29178.12334
80	28971.26641
81	28777.84445
82	28562.57452
83	28358.54066
84	28188.69911
85	28053.41294
86	27922.23138
87	27779.34763
88	27634.99273
89	27440.80092
90	27250.95017
91	27097.01858
92	26936.66129
93	26784.31799
94	26626.5426
95	26475.68103
96	26346.49287
97	26215.16492
98	26084.28639
99	25948.71259
