iter	Passed	Remaining
0	7	741
1	13	674
2	19	630
3	37	900
4	44	846
5	50	783
6	59	794
7	67	777
8	75	759
9	81	734
10	88	716
11	95	696
12	100	674
13	107	661
14	115	652
15	125	656
16	130	639
17	136	623
18	142	609
19	162	649
20	169	636
21	175	621
22	180	605
23	187	593
24	193	579
25	199	567
26	206	557
27	212	546
28	220	539
29	225	526
30	230	513
31	237	504
32	242	492
33	248	482
34	255	473
35	260	463
36	266	454
37	271	442
38	276	432
39	282	423
40	288	415
41	293	405
42	299	396
43	304	387
44	309	377
45	314	369
46	319	360
47	324	351
48	329	343
49	334	334
50	338	325
51	344	317
52	349	309
53	353	301
54	359	293
55	364	286
56	369	278
57	374	271
58	378	263
59	384	256
60	389	249
61	394	241
62	399	234
63	405	227
64	410	220
65	415	213
66	420	207
67	427	201
68	432	194
69	437	187
70	442	180
71	447	174
72	453	167
73	458	160
74	462	154
75	467	147
76	472	141
77	478	134
78	483	128
79	488	122
80	493	115
81	499	109
82	504	103
83	509	97
84	514	90
85	519	84
86	524	78
87	529	72
88	534	66
89	539	59
90	544	53
91	549	47
92	556	41
93	562	35
94	567	29
95	574	23
96	580	17
97	585	11
98	592	5
99	597	0
